query_image,category,color_p5,color_p10,glcm_p5,glcm_p10,hu_p5,hu_p10,orb_p5,orb_p10
processed_dataset\ambulance\SGUVZELAI9R4.jpg,ambulance,0.0,0.0,0.2,0.3,0.2,0.1,0.4,0.4
processed_dataset\ambulance\4FYUTH6N3G0V.jpg,ambulance,0.4,0.2,0.4,0.3,0.2,0.1,0.0,0.2
processed_dataset\ambulance\1PRZBSP7WXZB.jpg,ambulance,0.4,0.4,0.4,0.2,0.2,0.2,0.4,0.2
processed_dataset\ambulance\Y4NCD542HC5G.jpg,ambulance,0.0,0.0,0.2,0.2,0.2,0.3,0.2,0.1
processed_dataset\ambulance\A50JSL325YLH.jpg,ambulance,0.2,0.1,0.2,0.2,0.0,0.1,0.0,0.0
processed_dataset\ambulance\93E274DXURZO.jpg,ambulance,0.0,0.0,0.6,0.6,0.0,0.2,0.2,0.1
processed_dataset\ambulance\7XC4NR8IMCDE.jpg,ambulance,0.2,0.3,0.8,0.5,0.2,0.1,0.2,0.2
processed_dataset\ambulance\4X79Z5X9C39C.jpg,ambulance,0.0,0.0,0.2,0.1,0.0,0.0,0.4,0.3
processed_dataset\ambulance\XS73TEPS1GP3.jpg,ambulance,0.4,0.2,0.0,0.0,0.2,0.2,0.2,0.1
processed_dataset\ambulance\4CM9ZAPZRL04.jpg,ambulance,0.2,0.1,0.2,0.2,0.0,0.0,0.0,0.1
processed_dataset\bicycle\TF21K1IUF7VN.jpg,bicycle,1.0,0.8,0.2,0.3,0.6,0.8,1.0,1.0
processed_dataset\bicycle\X9N5TBIVQWF1.jpg,bicycle,0.6,0.7,0.4,0.2,0.4,0.2,1.0,1.0
processed_dataset\bicycle\O0TAOMWXYXSL.jpg,bicycle,0.2,0.2,0.6,0.5,0.0,0.0,0.0,0.0
processed_dataset\bicycle\2OMYU2VIJWEB.jpg,bicycle,0.2,0.1,0.4,0.4,0.0,0.0,0.0,0.1
processed_dataset\bicycle\PCNQHWHALV9D.jpg,bicycle,0.2,0.2,0.6,0.4,0.2,0.1,0.0,0.0
processed_dataset\bicycle\HYBLJT85JCDV.jpg,bicycle,0.0,0.0,0.2,0.2,0.2,0.1,0.4,0.2
processed_dataset\bicycle\1BLXZ52NEQD9.jpg,bicycle,0.0,0.0,0.4,0.2,0.0,0.0,1.0,1.0
processed_dataset\bicycle\148G4QIDPDTY.jpg,bicycle,1.0,1.0,0.8,0.7,0.4,0.6,1.0,1.0
processed_dataset\bicycle\2SOKWRAOO0ZQ.jpg,bicycle,0.4,0.3,0.2,0.3,0.0,0.1,1.0,1.0
processed_dataset\bicycle\7Q1RB6AITTAS.jpg,bicycle,1.0,0.8,0.2,0.1,0.0,0.1,1.0,1.0
processed_dataset\bus\75d347a4-03b9-4477-b14e-f2c89e3977d0.jpg,bus,0.2,0.1,0.2,0.3,0.2,0.1,0.6,0.3
processed_dataset\bus\Image_14.jpg,bus,0.4,0.2,0.0,0.0,0.6,0.3,0.0,0.0
processed_dataset\bus\Image_42.jpg,bus,0.6,0.3,0.2,0.3,0.6,0.3,0.2,0.2
processed_dataset\bus\0c506847-57c0-4194-921a-4873a5e465a4.jpg,bus,0.0,0.1,0.0,0.1,0.0,0.2,0.2,0.2
processed_dataset\bus\Image_3.jpg,bus,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.4
processed_dataset\bus\6950aa82-bf63-4f62-92ea-4df127b42ebd.jpg,bus,0.4,0.3,0.0,0.0,0.2,0.2,0.2,0.1
